,제목,가격,강사,URL,카테고리,리뷰
207,처음 시작하는 Vue.js 웹프로그래밍,"₩27,500",소프트캠퍼스,https://edu.goorm.io/lecture/14816/처음-시작하는-vue-js-웹프로그래밍,웹 프로그래밍 - 프로그래밍,[]
208,생활코딩 - WEB6: Multi User on Passport (다중 사용자),무료,생활코딩,https://edu.goorm.io/lecture/14644/생활코딩-web6-multi-user-on-passport-다중-사용자,웹 프로그래밍 - 프로그래밍,[]
209,생활코딩 - WEB5: Express Passport.js,무료,생활코딩,https://edu.goorm.io/lecture/14643/생활코딩-web5-express-passport-js,웹 프로그래밍 - 프로그래밍,[]
210,생활코딩 - WEB4: Express Session & Auth (세션과 인증),무료,생활코딩,https://edu.goorm.io/lecture/14642/생활코딩-web4-express-session-and-auth-세션과-인증,웹 프로그래밍 - 프로그래밍,['생활코딩 최고입니다!']
211,인공지능 R GO! 하자!,무료,이수화,https://edu.goorm.io/lecture/14631/인공지능-r-go-하자,프로그래밍 - 인공지능,['정말 도움이 많이 됬습니다. 정말 감사합니다']
212,생활코딩 - Node.js: 쿠키와 인증,무료,생활코딩,https://edu.goorm.io/lecture/14641/생활코딩-node-js-쿠키와-인증,웹 프로그래밍 - 프로그래밍,['gooooodddd']
213,생활코딩 - WEB3: Google Login,무료,생활코딩,https://edu.goorm.io/lecture/14634/생활코딩-web3-google-login,웹 프로그래밍 - 프로그래밍,[]
214,생활코딩 - WEB3: Facebook Login,무료,생활코딩,https://edu.goorm.io/lecture/14633/생활코딩-web3-facebook-login,웹 프로그래밍 - 프로그래밍,[]
215,생활코딩 - WEB3: Ajax,무료,생활코딩,https://edu.goorm.io/lecture/14632/생활코딩-web3-ajax,웹 프로그래밍 - 프로그래밍,"['아직 마냥 쉽지는 않지만, AJAX 를 어떻게 활용할 수 있는지 아이디어를 얻어갑니다.']"
216,마인크래프트 게임을 활용한 파이썬 프로그래밍 완벽 이해,"₩55,000",보안프로젝트,https://edu.goorm.io/lecture/13439/마인크래프트-게임을-활용한-파이썬-프로그래밍-완벽-이해,프로그래밍 - 프로그래밍 기초,[]
217,웹 게임을 만들며 배우는 React(리액트),무료,조현영,https://edu.goorm.io/lecture/14562/웹-게임을-만들며-배우는-react-리액트,웹 프로그래밍 - 프로그래밍,['원리를 설명잘해주십니다 ㅎㅎ ']
218,프로젝트를 통해 배우는 파이썬 프로그래밍,무료,노마드 크리에이터 Nomad Creator,https://edu.goorm.io/lecture/14588/프로젝트를-통해-배우는-파이썬-프로그래밍,프로그래밍 - 프로그래밍 기초,['Good']
219,악성코드분석 중급과정 (유형별분석),"₩132,000",보안프로젝트,https://edu.goorm.io/lecture/14297/악성코드분석-중급과정-유형별분석,프로그래밍 - 보안,[]
220,윈도우 악성코드(malware) 분석 입문 과정,"₩143,000",보안프로젝트,https://edu.goorm.io/lecture/14068/윈도우-악성코드-malware-분석-입문-과정,프로그래밍 - 보안,[]
221,메타스플로잇 활용 및 취약점 분석(고급과정),"₩110,000",보안프로젝트,https://edu.goorm.io/lecture/13437/메타스플로잇-활용-및-취약점-분석-고급과정,프로그래밍 - 보안,[]
222,생활코딩 - 관계형 데이터 모델링,무료,생활코딩,https://edu.goorm.io/lecture/14442/생활코딩-관계형-데이터-모델링,프로그래밍 - 데이터베이스,['깔끔한 설명이 아주 좋아요!\n감사합니다.']
223,메타스플로잇 활용 및 분석 완벽 가이드 (초중급),"₩88,000",보안프로젝트,https://edu.goorm.io/lecture/14369/메타스플로잇-활용-및-분석-완벽-가이드-초중급,프로그래밍 - 보안,[]
224,생활코딩 - SQL JOIN,무료,생활코딩,https://edu.goorm.io/lecture/14441/생활코딩-sql-join,프로그래밍 - 데이터베이스,['하나하나 친절하게 가르쳐줘서 잘 습득 되네요']
225,악성코드 분석을 위한 메모리 포렌식 (Memory Forensic),"₩88,000",보안프로젝트,https://edu.goorm.io/lecture/14550/악성코드-분석을-위한-메모리-포렌식-memory-forensic,프로그래밍 - 보안,[]
226,[바로실습] 생활코딩 - JavaScript Immutability,무료,생활코딩,https://edu.goorm.io/lecture/14439/바로실습-생활코딩-javascript-immutability,웹 프로그래밍 - 프로그래밍,[]
227,생활코딩 - Redux,무료,생활코딩,https://edu.goorm.io/lecture/14440/생활코딩-redux,웹 프로그래밍 - 프로그래밍,['쉬운 설명 갑사합니다']
228,처음 만난 AWS,무료,소플,https://edu.goorm.io/lecture/12945/처음-만난-aws,프로그래밍 - 데브옵스,['AWS 이해에 많은 도움이 되었습니다.']
229,처음 만난 React(리액트),무료,소플,https://edu.goorm.io/lecture/12976/처음-만난-react-리액트,웹 프로그래밍 - 프로그래밍,['좋아요!']
230,안드로이드 모바일 앱 모의해킹과 시큐어코딩,"₩132,000",보안프로젝트,https://edu.goorm.io/lecture/13435/안드로이드-모바일-앱-모의해킹과-시큐어코딩,프로그래밍 - 보안,[]
231,Node.js 서버 프로그래밍 과정,"₩22,000",소프트캠퍼스,https://edu.goorm.io/lecture/13564/node-js-서버-프로그래밍-과정,웹 프로그래밍 - 프로그래밍,[]
232,Oracle Database 11g PL/SQL Developer,"₩16,500",소프트캠퍼스,https://edu.goorm.io/lecture/13563/oracle-database-11g-pl-sql-developer,프로그래밍 - 데이터베이스,[]
233,윈도우즈 애플리케이션 취약점 분석 입문부터 활용까지,"₩132,000",보안프로젝트,https://edu.goorm.io/lecture/13436/윈도우즈-애플리케이션-취약점-분석-입문부터-활용까지,프로그래밍 - 보안,[]
234,Mobile App UI/UX/GUI Design Tutorials (모바일 앱 UX/UI/GUI 디자인 실무),"₩22,000",소프트캠퍼스,https://edu.goorm.io/lecture/13429/mobile-app-ui-ux-gui-design-tutorials-모바일-앱-ux-ui-gui-디자인-실무,프로그래밍 - 모바일 프로그래밍,[]
