,카테고리,제목,강사,가격,평점,리뷰,URL
74,프로그래밍 - 기타,[온라인 SW 아카데미] 스마트폰 센서 제어를 위한 앱(app) 개발,세명컴퓨터고등학교장,0,5.0,"""좋아요""",https://edu.goorm.io/lecture/22344/온라인-sw-아카데미-스마트폰-센서-제어를-위한-앱-app-개발
75,프로그래밍 - 알고리즘,파이썬으로 배우는 알고리즘 기초,주니온,0,5.0,""" """,https://edu.goorm.io/lecture/22654/파이썬으로-배우는-알고리즘-기초
76,웹 프로그래밍 - 프로그래밍,"그림으로 배우는 HTML-CSS, 입문!",홍팍,19800,5.0,"""좋아요""",https://edu.goorm.io/lecture/22109/그림으로-배우는-html-css-입문
77,프로그래밍 - 알고리즘,비타알고와 정보올림피아드 준비하기 with 모의고사,구름,80000,0.0,,https://edu.goorm.io/lecture/22442/비타알고와-정보올림피아드-준비하기-with-모의고사
78,프로그래밍 - 데브옵스,따라하며 배우는 도커와 CI환경,John Ahn,24200,5.0,"""단순 사용법 뿐만아닌 원리까지 설명해주시려는 모습이 넘 좋습니다!!""",https://edu.goorm.io/lecture/22383/따라하며-배우는-도커와-ci환경
79,프로그래밍 - 프로그래밍 기초,"그림으로 배우는 자바, 객체지향!",홍팍,19800,4.9,"""작년 무료강의듣고 너무 좋아서 다시 찾아왔습니다!! 무료가 너무 잘되있어서 유료로 듣기를 고민 했는데 그외 구체적인 예시들이 나오면서 진작 유료도 들을껄이란 생각이 듭니다!! 제발...다른 언어도 내주세요 선생님....ㅠㅠ""",https://edu.goorm.io/lecture/22108/그림으로-배우는-자바-객체지향
80,프로그래밍 - 프로그래밍 기초,"그림으로 배우는 자바, 입문!",홍팍,19800,4.8,"""챕터별로 짧고 굵게 잘 설명해주셔서 너무 좋아요""",https://edu.goorm.io/lecture/22087/그림으로-배우는-자바-입문
81,웹 프로그래밍 - 프로그래밍,한 눈에 보는 타입스크립트,영웅박,0,5.0,"""이해하기 쉽게 설명이 잘되어 있습니다.""",https://edu.goorm.io/lecture/22106/한-눈에-보는-타입스크립트
82,프로그래밍 - 프로그래밍 기초,[애플 공식 교재] 스위프트 퍼즐 2,코더스하이,0,0.0,,https://edu.goorm.io/lecture/22013/애플-공식-교재-스위프트-퍼즐-2
83,프로그래밍 - 프로그래밍 기초,[애플 공식 교재] 스위프트 퍼즐 1,코더스하이,0,0.0,,https://edu.goorm.io/lecture/21987/애플-공식-교재-스위프트-퍼즐-1
84,프로그래밍 - 프로그래밍 기초,"코린아, 코딩하자! with 파이썬",주니온,0,4.5,"""선생님 인상도 너무 좋으시고, 파이썬 완전 처음인데 이해도 잘되네요~ 감사합니다. 아직 갈 길이 멀지만 열심히 해보겠습니다!""",https://edu.goorm.io/lecture/21975/코린아-코딩하자-with-파이썬
85,프로그래밍 - 프로그래밍 기초,무료 파이썬 활용편2 - GUI 프로그래밍,나도코딩,0,5.0,"""자세한 설명과 풍부한 예제. 좋습니다.""",https://edu.goorm.io/lecture/21780/무료-파이썬-활용편2-gui-프로그래밍
86,프로그래밍 - IoT,아두이노 시뮬레이터  - 팅커캐드 서킷,메이커멘토,0,5.0,"""너무 쉽게 이해하기 쉬웠어요~!! """,https://edu.goorm.io/lecture/21770/아두이노-시뮬레이터-팅커캐드-서킷
87,프로그래밍 - 모바일 프로그래밍,안드로이드 앱 개발로 배우는 자바 코딩 기초,Denis Jung,19000,5.0,,https://edu.goorm.io/lecture/21383/안드로이드-앱-개발로-배우는-자바-코딩-기초
88,웹 프로그래밍 - 프로그래밍,한 눈에 읽는 루비 온 레일즈,구름,0,4.9,"""굳""",https://edu.goorm.io/lecture/16335/한-눈에-읽는-루비-온-레일즈
89,프로그래밍 - 프로그래밍 기초,코돈의 7주 완성 기초 프로그래밍,codon knumed,20000,5.0,"""완벽한 강의입니다. 제작하느라 고생 많으셨습니다. """,https://edu.goorm.io/lecture/16902/코돈의-7주-완성-기초-프로그래밍
90,프로그래밍 - 프로그래밍 기초,동시에 배우는 C와 C++,두들낙서,0,5.0,"""차근차근 잘 설명해주셔서 좋습니다 :D""",https://edu.goorm.io/lecture/21611/동시에-배우는-c와-c
91,프로그래밍 - 데이터 추출/분석,이부일의 R릴레오 기초편,이 부일,0,0.0,,https://edu.goorm.io/lecture/21022/이부일의-r릴레오-기초편
92,프로그래밍 - 수학,[R] 머신러닝을 위한 통계학 기초,코코,44550,0.0,,https://edu.goorm.io/lecture/21244/r-머신러닝을-위한-통계학-기초
93,프로그래밍 - IoT,한큐에 끝내는 해커톤 입문_아두이노와 웹,밍밍이와 맹맹이,3300,5.0,,https://edu.goorm.io/lecture/21118/한큐에-끝내는-해커톤-입문_아두이노와-웹
94,프로그래밍 - 모바일 프로그래밍,코딩셰프의 Flutter 순한맛,코딩셰프,0,5.0,"""GOOD~ """,https://edu.goorm.io/lecture/21167/코딩셰프의-flutter-순한맛
95,프로그래밍 - 모바일 프로그래밍,안드로이드를 위한 자바 프로그래밍,소프트캠퍼스,10000,0.0,,https://edu.goorm.io/lecture/21052/안드로이드를-위한-자바-프로그래밍
96,프로그래밍 - 기타,컴퓨터 일반론,MN만능아카데미,0,3.0,,https://edu.goorm.io/lecture/13426/컴퓨터-일반론
97,프로그래밍 - 인공지능,[저자 직강] Do it! 딥러닝 입문,이지스퍼블리싱,0,5.0,"""이해하기 쉽게 잘 설명주고 있습니다.""",https://edu.goorm.io/lecture/21177/저자-직강-do-it-딥러닝-입문
98,프로그래밍 - 게임 개발,무료 파이썬 활용편1 - 추억의 오락실 게임 만들기,나도코딩,0,4.9,"""따라하기 쉽네요""",https://edu.goorm.io/lecture/21001/무료-파이썬-활용편1-추억의-오락실-게임-만들기
99,웹 프로그래밍 - 프로그래밍,디스코드 자바스크립트 튜토리얼 - 이전버전,제스퍼,0,4.9,"""디스코드봇을 구동시키는방법도 리눅스와 윈도우용으로 각각있었으면 좋겠어요! """,https://edu.goorm.io/lecture/20853/디스코드-자바스크립트-튜토리얼-이전버전
100,프로그래밍 - 모바일 프로그래밍,[2020 NEW] 코틀린 기반 안드로이드 앱 개발 Part1 - Kotlin UI Programming,소프트캠퍼스,66000,0.0,,https://edu.goorm.io/lecture/20669/2020-new-코틀린-기반-안드로이드-앱-개발-part1-kotlin-ui-programming
101,프로그래밍 - 데브옵스,모두를 위한 클라우드 컴퓨팅 입문,김유경,28000,5.0,"""기초개념이 잘이해되었습니다.""",https://edu.goorm.io/lecture/18575/모두를-위한-클라우드-컴퓨팅-입문
102,프로그래밍 - 프로그래밍 기초,Google 공식 언어 Kotlin 프로그래밍 시작하기,소프트캠퍼스,44000,0.0,,https://edu.goorm.io/lecture/20670/google-공식-언어-kotlin-프로그래밍-시작하기
103,웹 프로그래밍 - 프로그래밍,김버그의 HTML&CSS는 재밌다,김버그,90000,4.9,"""재미있어요 """,https://edu.goorm.io/lecture/20583/김버그의-html-css는-재밌다
104,웹 프로그래밍 - 프로그래밍,따라하며 배우는 데노(DENO),John Ahn,0,4.9,"""blind expert spot 이  전혀 보이지 않는 강의 !""",https://edu.goorm.io/lecture/20663/따라하며-배우는-데노-deno
105,프로그래밍 - 인공지능,텐서플로2로 배우는 딥러닝,Minsuk Heo,0,4.6,"""너무 좋습니다""",https://edu.goorm.io/lecture/20687/텐서플로2로-배우는-딥러닝
106,프로그래밍 - 인공지능,딥러닝 이론 및 파이썬 실습,Minsuk Heo,0,4.6,"""쉽고 재밌네요~ """,https://edu.goorm.io/lecture/20671/딥러닝-이론-및-파이썬-실습
107,프로그래밍 - 프로그래밍 기초,일본어로 배우는 Java 입문,崔智恵,30000,0.0,,https://edu.goorm.io/lecture/20397/일본어로-배우는-java-입문
108,웹 프로그래밍 - 프로그래밍,[번역판] CLEAN CODE JAVASCRIPT,박명호,0,5.0,"""감사합니다""",https://edu.goorm.io/lecture/20119/번역판-clean-code-javascript
109,프로그래밍 - 데이터베이스,한 눈에 끝내는 SQL,구름,99000,5.0,"""좋아요""",https://edu.goorm.io/lecture/15413/한-눈에-끝내는-sql
