,제목,가격,강사,평점,URL
334,화이트해커가 되기 위한 8가지 웹 해킹 기술,무료,secuacademy,5.0,https://edu.goorm.io/lecture/4953/화이트해커가-되기-위한-8가지-웹-해킹-기술
335,머신러닝 이론 및 파이썬 실습,무료,Minsuk Heo,4.9,https://edu.goorm.io/lecture/4012/머신러닝-이론-및-파이썬-실습
336,"[2017 NIA SW교안 공유 공모전] C언어, 스크래치를 통해 알아보자",무료,윤제성,4.7,https://edu.goorm.io/lecture/1647/2017-nia-sw교안-공유-공모전-c언어-스크래치를-통해-알아보자
337,Git & GitHub 입문 by 코드스쿼드,무료,코드스쿼드,4.9,https://edu.goorm.io/lecture/4661/git-github-입문-by-코드스쿼드
338,헬로 코딩 쌩초보의 처음 프로그래밍 파이썬,무료,윤인성,5.0,https://edu.goorm.io/lecture/4112/헬로-코딩-쌩초보의-처음-프로그래밍-파이썬
339,구름IDE를 이용하여 초고속으로 개인 웹 사이트 만들기,무료,나동빈,5.0,https://edu.goorm.io/lecture/4543/구름ide를-이용하여-초고속으로-개인-웹-사이트-만들기
340,모던 자바스크립트 개발자를 위한 리액트 프로그래밍,무료,윤인성,4.9,https://edu.goorm.io/lecture/4113/모던-자바스크립트-개발자를-위한-리액트-프로그래밍
341,파이콘 2018 영코더 with 바울랩,무료,이호준,5.0,https://edu.goorm.io/lecture/3990/파이콘-2018-영코더-with-바울랩
342,모던 웹을 위한 JavaScript + jQuery 입문,무료,윤인성,5.0,https://edu.goorm.io/lecture/4110/모던-웹을-위한-javascript-jquery-입문
343,개발자가 알려주는 코딩 인터뷰 정복하기,무료,Minsuk Heo,0.0,https://edu.goorm.io/lecture/4014/개발자가-알려주는-코딩-인터뷰-정복하기
344,"ELK 스택(ElasticSearch, Logstash, Kibana)으로 데이터 분석",무료,Minsuk Heo,4.9,https://edu.goorm.io/lecture/4013/elk-스택-elasticsearch-logstash-kibana-으로-데이터-분석
345,[바로실습] 생활코딩 - WEB3: 익스프레스(Express),무료,생활코딩,5.0,https://edu.goorm.io/lecture/3846/바로실습-생활코딩-web3-익스프레스-express
346,머신러닝/딥러닝 실전 입문,무료,윤인성,4.5,https://edu.goorm.io/lecture/4111/머신러닝-딥러닝-실전-입문
347,[Pandas] 팬더스 데이터분석 기초 실습,무료,Minsuk Heo,4.8,https://edu.goorm.io/lecture/3999/pandas-팬더스-데이터분석-기초-실습
348,한 눈에 끝내는 루비 기초,"₩39,000",구름,4.9,https://edu.goorm.io/lecture/2011/한-눈에-끝내는-루비-기초
349,유니티 강좌 [쯔꾸르풍 게임 제작하기],무료,김으뜸,5.0,https://edu.goorm.io/lecture/3991/유니티-강좌-쯔꾸르풍-게임-제작하기
350,모두를 위한 딥러닝 - Deep Reinforcement Learning,무료,Sung Kim,5.0,https://edu.goorm.io/lecture/3980/모두를-위한-딥러닝-deep-reinforcement-learning
351,MATLAB으로 시작하는 프로그래밍,무료,박범진,5.0,https://edu.goorm.io/lecture/3977/matlab으로-시작하는-프로그래밍
352,모두를 위한 딥러닝 - 기본적인 머신러닝과 딥러닝,무료,Sung Kim,5.0,https://edu.goorm.io/lecture/3979/모두를-위한-딥러닝-기본적인-머신러닝과-딥러닝
353,[ Ruby Coin ] Rails로 쉽고 빠른 웹사이트 만들기,무료,Karoid,4.7,https://edu.goorm.io/lecture/1928/ruby-coin-rails로-쉽고-빠른-웹사이트-만들기
354,[저자직강] Hello Coding 한입에 쏙 파이썬: 크리에이터 김왼손의 쉽고 빠른 파이썬 강의,무료,김왼손의 왼손코딩,5.0,https://edu.goorm.io/lecture/3856/저자직강-hello-coding-한입에-쏙-파이썬-크리에이터-김왼손의-쉽고-빠른-파이썬-강의
355,정보처리산업기사 기출문제,무료,구름,5.0,https://edu.goorm.io/lecture/3755/정보처리산업기사-기출문제
356,다시 풀어보는 2016/2017 정보올림피아드 지역 대회 초등부 기출 문제,무료,구름,5.0,https://edu.goorm.io/lecture/3746/다시-풀어보는-2016-2017-정보올림피아드-지역-대회-초등부-기출-문제
357,다시 풀어보는 2016/2017 정보올림피아드 지역 대회 중등부 기출 문제,무료,구름,0.0,https://edu.goorm.io/lecture/3745/다시-풀어보는-2016-2017-정보올림피아드-지역-대회-중등부-기출-문제
358,다시 풀어보는 2016/2017 정보올림피아드 지역 대회 고등부 기출 문제,무료,구름,0.0,https://edu.goorm.io/lecture/3744/다시-풀어보는-2016-2017-정보올림피아드-지역-대회-고등부-기출-문제
359,IOS Firebase 강의,무료,하울의 코딩 채널,5.0,https://edu.goorm.io/lecture/3530/ios-firebase-강의
360,안드로이드 Firebase 강의,무료,하울의 코딩 채널,0.0,https://edu.goorm.io/lecture/3528/안드로이드-firebase-강의
361,Node.js Firebase - Function,무료,하울의 코딩 채널,5.0,https://edu.goorm.io/lecture/3570/node-js-firebase-function
362,[바로실습] 생활코딩 - 자바스크립트(Javascript),무료,생활코딩,5.0,https://edu.goorm.io/lecture/2229/바로실습-생활코딩-자바스크립트-javascript
363,김왼손의 유기농냠냠파이썬,무료,김왼손의 왼손코딩,5.0,https://edu.goorm.io/lecture/3524/김왼손의-유기농냠냠파이썬
364,HowlTalk - Android (Firebase),무료,하울의 코딩 채널,5.0,https://edu.goorm.io/lecture/3533/howltalk-android-firebase
365,HowlTalk - IOS(Firebase),무료,하울의 코딩 채널,0.0,https://edu.goorm.io/lecture/3532/howltalk-ios-firebase
366,Node.js 서버 개발,무료,하울의 코딩 채널,4.8,https://edu.goorm.io/lecture/3534/node-js-서버-개발
367,안드로이드 앱 개발 강의 - 기초편,무료,하울의 코딩 채널,4.6,https://edu.goorm.io/lecture/3523/안드로이드-앱-개발-강의-기초편
368,Swift3 아이폰 앱 강의-초보,무료,하울의 코딩 채널,4.3,https://edu.goorm.io/lecture/3527/swift3-아이폰-앱-강의-초보
369,C 프로그래밍 - 입문에서 게임 개발까지,무료,나도코딩,5.0,https://edu.goorm.io/lecture/1972/c-프로그래밍-입문에서-게임-개발까지
370,스크래치3 프로그래밍 - 기초부터 게임 만들기까지!,무료,구름,4.8,https://edu.goorm.io/lecture/1478/스크래치3-프로그래밍-기초부터-게임-만들기까지
371,한 눈에 끝내는 파이썬3 기초,"₩99,000",구름,4.9,https://edu.goorm.io/lecture/3493/한-눈에-끝내는-파이썬3-기초
372,엔트리 기초부터 활용까지 정글코딩!,무료,정글코딩,5.0,https://edu.goorm.io/lecture/2164/엔트리-기초부터-활용까지-정글코딩
373,[PYCON2017 시리즈] 머신러닝을 위한 기초 수학 살펴보기,무료,MinJae Kwon,4.0,https://edu.goorm.io/lecture/1489/pycon2017-시리즈-머신러닝을-위한-기초-수학-살펴보기
374,[PYCON2017 시리즈] 파이썬에서 보다 정확한 숫자 계산하기,무료,leehosung,5.0,https://edu.goorm.io/lecture/1488/pycon2017-시리즈-파이썬에서-보다-정확한-숫자-계산하기
375,[PYCON2017 시리즈] 처음부터 알아보는 웹 크롤러,무료,Lee Junbum,5.0,https://edu.goorm.io/lecture/1487/pycon2017-시리즈-처음부터-알아보는-웹-크롤러
376,실리콘밸리의 개발자,무료,구름,4.5,https://edu.goorm.io/lecture/1490/실리콘밸리의-개발자
377,김왼손의 미운코딩새끼: 4시간만에 끝내는 파이썬 기초,무료,김왼손의 왼손코딩,4.9,https://edu.goorm.io/lecture/1461/김왼손의-미운코딩새끼-4시간만에-끝내는-파이썬-기초
378,엔트리 프로그래밍 - 기초부터 게임 만들기까지!,무료,구름,4.8,https://edu.goorm.io/lecture/1361/엔트리-프로그래밍-기초부터-게임-만들기까지
379,실전 유형 코딩 테스트 모의고사 - 시즌3,"₩80,000",구름,4.0,https://edu.goorm.io/lecture/1271/실전-유형-코딩-테스트-모의고사-시즌3
380,실전 유형 코딩 테스트 모의고사 - 시즌2,"₩100,000",구름,3.7,https://edu.goorm.io/lecture/1239/실전-유형-코딩-테스트-모의고사-시즌2
381,실전 유형 코딩 테스트 모의고사 - 시즌4,"₩100,000",구름,4.7,https://edu.goorm.io/lecture/1193/실전-유형-코딩-테스트-모의고사-시즌4
382,야곰의 스위프트 프로그래밍,무료,야곰,5.0,https://edu.goorm.io/lecture/1141/야곰의-스위프트-프로그래밍
383,실전 유형 코딩 테스트 모의고사 - 시즌1,"₩100,000",구름,3.8,https://edu.goorm.io/lecture/970/실전-유형-코딩-테스트-모의고사-시즌1
384,[바로실습] 생활코딩 - 자바(JAVA),무료,생활코딩,4.8,https://edu.goorm.io/lecture/41/바로실습-생활코딩-자바-java
385,TODO 앱을 직접 만들면서 배우는 node.js / express / bootstrap / jquery,무료,구름,4.9,https://edu.goorm.io/lecture/332/todo-앱을-직접-만들면서-배우는-node-js-express-bootstrap-jquery
386,PYCON 2017 영코더,무료,구름,3.5,https://edu.goorm.io/lecture/787/pycon-2017-영코더
387,제1회 구름코드챌린지(GCC) 기출 문제,무료,구름,3.0,https://edu.goorm.io/lecture/790/제1회-구름코드챌린지-gcc-기출-문제
388,[바로실습] 생활코딩 - 파이썬(Python),무료,생활코딩,4.8,https://edu.goorm.io/lecture/44/바로실습-생활코딩-파이썬-python
389,한 눈에 끝내는 아두이노 기초,무료,구름,4.5,https://edu.goorm.io/lecture/203/한-눈에-끝내는-아두이노-기초
390,10주 완성 알고리즘 코딩테스트,"₩200,000",코딩몬스터,4.5,https://edu.goorm.io/lecture/554/10주-완성-알고리즘-코딩테스트
391,한 눈에 끝내는 C언어 기초,무료,구름,4.9,https://edu.goorm.io/lecture/201/한-눈에-끝내는-c언어-기초
